date,max_temp,min_temp
2026-06-05,19.2,12.2
2026-06-06,21.3,13.9
2026-06-07,23.1,12.2
2026-06-08,22.6,13.7
2026-06-09,20.3,10.8
2026-06-10,17.6,12.7
2026-06-11,18.5,10.2
2026-06-12,24.6,16.6
